era,validator,commission
1038,14ghKTz5mjZPgGYvgVC9VnFw1HYZmmsnYvSSHFgFTJfMvwQS,8.0
1038,14j7YcVqpfiZwbrPuwMfcKWuY176cKN1SMHVSZvT7yrfhbnt,40.0
1038,12x3EG6dvZv9h3sLNaEFd4z2q8259tNgiEU6vismjrEZjbzN,100.0
1038,16eybSNRCCJ7eHn2FFxdTir8EtcWv6mRpPBzccn28eyCoieB,100.0
1038,1RJP5i7zuyBLtgGTMCD9oF8zQMTQvfc4zpKNsVxfvTKdHmr,8.0
1038,15oDwMTENAdjzmpRVqnTT17ZZQpZT3C9sUcUSJnutNuU4ZkW,100.0
1038,15fU523Wq5BCt2NWAmrCU6p8nFB29uVifeG7bwYJHbw5Mmd9,1.0
1038,15XvGmoR6NqAPoV86yDGMDkvU8PCtYGJoywGq1AFcwF6Y2qy,100.0
1038,16A1zLQ3KjMnxch1NAU44hoijFK3fHUjqb11bVgcHCfoj9z3,8.0
1038,16YwUZyLdeAoe4KmhivGwuuJpBH1US4qkUtXK2V83MVXUy6x,1.0
1038,14oxWC7QDs4DzWUjtiV85AKxDJfL4RpyQUAeGwRQWUTSN1Cj,100.0
1038,14DCwC1uGJjRdVLgqNbVkoGU8rooUx9WG7fWzC1Nn6g5yc5T,100.0
1038,1zugcabTuN7rs1bFYb33gRemtg67i4Mvp1twW85nQKiwhwQ,10.0
1038,13zYzYw1tQY5dfN4mRrHuuCfXBtKZgcq3uRfpH2Z9YyznpSv,100.0
1038,16SDUqoRr6f8DAyKhYWvo9dwFPdJHeFXFr1may1vhomqqPTQ,5.0
1038,16VVhErhwncZjgz6Mgx391G8jbHaXspBNLh8Q3V5WK1vWF9J,100.0
1038,14Meq7tN9RRkZCKiztmYLp3fMBFkftzfyFQNQrcyc619hgx5,100.0
1038,14rqNrqMwNK9YA1BSqRStNBUqGgwxKdysoL4dNQ8GH8LRcrq,100.0
1038,1247Twcyzmb46zNZ68yg3ZBPcsAfKRsxhTa2tkbPBs12gwXt,5.0
1038,139FVSnE8hkd1vVJmECkAsKeLyAJrS6kKq5TxTJbDEq1YvRc,100.0
1038,14PnsLeTyovxc5SNR1n29izokA9ZLVjW7mDi71HribZDeppz,100.0
1038,15vUnTtXK5BAv8UkEn7NMfYUVHp8Fr5EFburmL6CR7fhPyaU,100.0
1038,121gZtuuG6sq3BZp1UKg8oRLRZvp89SAYSxXypwDJjaSRJR5,2.5
1038,126gTJ1q3eJE8fFVjCqkfmz7KKr9g6rZSARXE2yeT1PRpFzj,5.0
1038,1RG5T6zGY4XovW75mTgpH6Bx7Y6uwwMmPToMCJSdMwdm4EW,3.0
1038,124YFXA3XoRs9Epcx3aRUSk3EKYaznocqMWfrMKtGjx8TJ2W,8.0
1038,114SUbKCXjmb9czpWTtS3JANSmNRwVa4mmsMrWYpRG1kDH5,100.0
1038,12YFWxpS32wTZq4HcH28HMR5atkGhxzfD7aNjhTCu5Vyz9J9,10.0
1038,13fqhWQCqTHTPbU1fyvbz9Ua3NC47fVVexYuNQRBwpSeZyKM,100.0
1038,12JZr1HgK8w6zsbBj6oAEVRkvisn8j3MrkXugqtvc4E8uwLo,100.0
1038,14QBQABMSFBsT3pDTaEQdshq7ZLmhzKiae2weZH45pw5ErYu,2.5
1038,15dEbKrzyw8Hwb7KkZHYKgCaPQGxnMgWm2EXb1zh6DmRKX22,40.0
1038,1y6CPLgccsysCEii3M7jQF834GZsz9A3HMcZz3w7RjGPpBL,3.0
1038,13e8KMQZHJkGDrMT3W2vbNLGJ4ZNEudvVuZbXQybd4RkfuQW,100.0
1038,13Q5v2kmjLCfRbcV5TQNkshPERSBVsoodFgZQakdPJsZKaMc,100.0
1038,13Dc43nesjhyPzVX7ZpUjjmQcVMEyrif5ukSHoDpatvpwyrR,100.0
1038,11uMPbeaEDJhUxzU4ZfWW9VQEsryP9XqFcNRfPdYda6aFWJ,2.5
1038,15oKi7HoBQbwwdQc47k71q4sJJWnu5opn1pqoGx4NAEYZSHs,2.5
1038,12DmPk8ZU1i7R5mUtk5Hmeb6sTyUMpXVuE8HnZ9nZpP1WNTV,3.0
1038,12F14P9VpqyLtjwTh66z9gDmjYh8rRFY2uV4BYxvPAz9Lhzw,100.0
1038,124RsxuvWs31iWyUMvDsnoRUgLQfntxeBXnwWJd8eC7EVe1L,5.0
1038,12R2eXcE2QhMa9BkMsWktt9wmoxbgiQBDG9YUM1p94r2F5UD,0.46
1038,12RXTLiaYh59PokjZVhQvKzcfBEB5CvDnjKKUmDUotzcTH3S,5.0
1038,12gkhA8JEz8ywmVj1tsVafSp9C4saKzSofgMwBJcmFJAGUVX,8.0
1038,15JjaHXBC6whzYhWiEi7uExsTboAC4tibbeBKPxh5CVk5Jfq,5.0
1038,14JUa7g5AVsrLbvcL1cpgNvbd8pctwTaCiV1dBk7nFcZmCqE,100.0
1038,13p9kJiRnfy8QSjFoovHzatuE7SW5xdddxDvk9mXtERueo9E,100.0
1038,15MLn9YQaHZ4GMkhK3qXqR5iGGSdULyJ995ctjeBgFRseyi6,3.0
1038,12ECDEb18Wiy4MoLn3NTM5zhJfDfpS4mLNvjHpcEr8ogGrMZ,8.0
1038,1F7Xgr5VM5RiYmkCxS1xWH6GbcBgSA5Jpq1H6XpXnxFJ5KH,100.0
